num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,32,64,3,Vanilla,769814,64424,11995,192944,2.9949088
12000,32,64,3,Vanilla,779649,48236,11985,144576,2.9972634
12000,32,64,3,Vanilla,769918,66113,12000,197621,2.9891398
12000,32,64,3,Vanilla,772209,48506,11982,145439,2.9983714
12000,32,64,3,Vanilla,775399,65858,11998,197149,2.9935467
12000,32,64,3,Vanilla,775962,45543,11978,136560,2.9984848
12000,48,64,3,Vanilla,776603,63570,11991,190536,2.997263
12000,48,64,3,Vanilla,776302,64017,11996,192002,2.9992347
12000,48,64,3,Vanilla,773564,71349,11999,213929,2.998346
12000,48,64,3,Vanilla,773071,61558,11991,184580,2.998473
12000,48,64,3,Vanilla,770978,81605,11998,244384,2.9947186
12000,48,64,3,Vanilla,775388,73374,11996,220056,2.9991004
12000,48,64,3,Vanilla,776481,73314,11998,219502,2.9939985
12000,48,64,3,Vanilla,775353,101084,12000,301861,2.9862392
12000,48,64,3,Vanilla,774723,95725,12000,286360,2.991486
12000,48,64,3,Vanilla,772201,71861,12000,215451,2.9981632
12000,48,64,3,Vanilla,775445,70802,11996,212123,2.996003
12000,48,64,3,Vanilla,774229,73596,12000,220671,2.9984102
12000,48,64,3,Vanilla,778074,75423,12000,226122,2.998051
12000,48,64,3,Vanilla,773442,70717,11998,211992,2.9977517
12000,48,64,3,Vanilla,775262,58029,11994,174019,2.9988282
12000,48,64,3,Vanilla,775641,63109,11995,189206,2.9980826
12000,48,64,3,Vanilla,771478,60690,11991,181932,2.9977262
12000,48,64,3,Vanilla,770343,76337,11999,228847,2.9978516
12000,48,64,3,Vanilla,774289,84416,12000,252865,2.995463
12000,48,64,3,Vanilla,771879,86676,11996,259525,2.994197
12000,48,64,3,Vanilla,775814,84898,12000,254326,2.9956653
12000,48,64,3,Vanilla,770388,62580,11988,187568,2.9972515
12000,48,64,3,Vanilla,774750,72260,11995,216511,2.9962773
12000,48,64,3,Vanilla,773161,91059,12000,272471,2.9922469
12000,48,64,3,Vanilla,775406,83570,12000,250390,2.9961708
12000,48,64,3,Vanilla,772131,74332,11999,222897,2.9986682
12000,48,64,3,Vanilla,773520,64578,11997,193663,2.9989007
12000,48,64,3,Vanilla,776916,69108,12000,207196,2.9981477
12000,48,64,3,Vanilla,773973,74662,11996,223766,2.9970534
12000,48,64,3,Vanilla,771334,66162,11995,198341,2.9978085
12000,48,64,3,Vanilla,772540,67850,11998,203400,2.9977891
12000,48,64,3,Vanilla,776274,79442,11998,238091,2.997042
12000,48,64,3,Vanilla,775727,80955,11999,242587,2.996566
12000,48,64,3,Vanilla,776792,80513,11998,241236,2.9962366
12000,48,64,3,Vanilla,772145,76927,11998,230414,2.9952292
12000,48,64,3,Vanilla,776371,62978,11999,188851,2.998682
12000,48,64,3,Vanilla,776792,79889,11999,239423,2.9969459
12000,48,64,3,Vanilla,773614,67406,11999,202162,2.999169
12000,48,64,3,Vanilla,774129,55677,11988,167002,2.999479
12000,48,64,3,Vanilla,773288,65674,11998,196883,2.9978836
12000,48,64,3,Vanilla,774175,70976,12000,212757,2.9975908
12000,48,64,3,Vanilla,774598,72074,11997,215926,2.995893
12000,48,64,3,Vanilla,773693,70867,11999,212476,2.9982362
12000,48,64,3,Vanilla,771557,77490,11997,232227,2.996864
12000,48,64,3,Vanilla,776297,82335,11998,246817,2.9977167
12000,48,64,3,Vanilla,775855,91095,12000,272432,2.990636
12000,48,64,3,Vanilla,774678,76918,11997,230399,2.9953847
12000,48,64,3,Vanilla,775449,91035,11999,272334,2.9915307
12000,48,64,3,Vanilla,771384,72119,11997,216117,2.9966722
12000,48,64,3,Vanilla,779531,75633,11998,226518,2.9949625
12000,48,64,3,Vanilla,773316,76272,11997,228711,2.9986234
12000,48,64,3,Vanilla,774701,79654,12000,238595,2.9953926
12000,48,64,3,Vanilla,771541,74786,12000,224169,2.9974728
12000,48,64,3,Vanilla,773544,76916,12000,230276,2.9938633
12000,48,64,3,Vanilla,774590,63153,11998,189350,2.998274
12000,48,64,3,Vanilla,773717,92314,11999,276001,2.9898064
12000,48,64,3,Vanilla,776668,83720,11999,250499,2.9921045
12000,48,64,3,Vanilla,771010,64077,11995,192148,2.9987047
12000,48,64,3,Vanilla,775219,62141,11996,186259,2.997361
12000,48,64,3,Vanilla,773582,84102,12000,252086,2.997384
12000,48,64,3,Vanilla,775381,68402,11999,205148,2.9991522
12000,48,64,3,Vanilla,771767,76859,11999,230378,2.9974108
12000,48,64,3,Vanilla,773529,80415,11999,240984,2.9967544
12000,48,64,3,Vanilla,773934,66310,12000,198789,2.9978735
12000,48,64,3,Vanilla,773279,73831,11995,221316,2.9976027
12000,48,64,3,Vanilla,771373,60046,11997,179994,2.9976017
12000,48,64,3,Vanilla,773843,55926,11997,167720,2.9989629
12000,48,64,3,Vanilla,773659,80149,12000,240035,2.9948595
12000,48,64,3,Vanilla,774296,59853,11991,179472,2.9985464
12000,48,64,3,Vanilla,772537,93304,12000,279194,2.9923048
12000,48,64,3,Vanilla,772054,73573,11997,220527,2.9973903
12000,48,64,3,Vanilla,775206,77951,12000,233604,2.9968057
12000,48,64,3,Vanilla,776427,85669,12000,256728,2.9967432
12000,48,64,3,Vanilla,775882,75266,11999,225603,2.997409
12000,48,64,3,Vanilla,774046,84076,11999,251833,2.995302
12000,48,64,3,Vanilla,774263,65189,11997,195481,2.9986808
12000,48,64,3,Vanilla,774489,77094,12000,230868,2.9946299
12000,48,64,3,Vanilla,773962,73491,11999,220339,2.9981766
12000,48,64,3,Vanilla,773371,77168,12000,231304,2.9974082
12000,48,64,3,Vanilla,776217,79945,12000,239439,2.9950466
12000,48,64,3,Vanilla,773635,88291,12000,264299,2.9934988
12000,48,64,3,Vanilla,770776,72091,11997,216097,2.9975586
12000,48,64,3,Vanilla,775715,75205,12000,225419,2.9973938
12000,48,64,3,Vanilla,774989,85087,12000,254927,2.9960747
12000,48,64,3,Vanilla,776073,88252,12000,264297,2.994799
12000,48,64,3,Vanilla,775416,56003,11993,167908,2.9981966
12000,48,64,3,Vanilla,772327,85804,11999,256966,2.994802
12000,48,64,3,Vanilla,775612,61876,11993,185548,2.998707
12000,48,64,3,Vanilla,772461,68663,12000,205888,2.998529
12000,48,64,3,Vanilla,775522,64558,12000,193544,2.9979863
12000,48,64,3,Vanilla,773497,69351,11998,207848,2.997044
12000,48,64,3,Vanilla,773084,79847,12000,239209,2.995842
12000,48,64,3,Vanilla,775954,60560,11991,181550,2.9978533
