num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,48,64,3,Vanilla,776009,65101,11994,195235,2.9989555
12000,48,64,3,Vanilla,772088,80939,11998,242622,2.9975908
12000,48,64,3,Vanilla,774793,96641,11999,288882,2.9892282
12000,48,64,3,Vanilla,775038,94374,12000,282159,2.989796
12000,48,64,3,Vanilla,775275,74501,12000,223225,2.9962685
12000,48,64,3,Vanilla,776835,73151,11999,219214,2.9967327
12000,48,64,3,Vanilla,773889,98649,12000,294812,2.9884946
12000,48,64,3,Vanilla,776863,87423,12000,261834,2.9950242
12000,48,64,3,Vanilla,776029,76120,11998,228136,2.9970572
12000,48,64,3,Vanilla,775790,64757,11999,194174,2.998502
12000,48,64,3,Vanilla,774064,83007,11999,248486,2.9935548
12000,48,64,3,Vanilla,775179,68876,11997,206480,2.9978511
12000,48,64,3,Vanilla,777913,81116,12000,243015,2.9958947
12000,48,64,3,Vanilla,771585,83264,12000,249296,2.994043
12000,48,64,3,Vanilla,770872,74796,12000,224230,2.9978876
12000,48,64,3,Vanilla,773339,75149,11998,225320,2.99831
12000,48,64,3,Vanilla,774109,76333,12000,228681,2.995834
12000,48,64,3,Vanilla,776290,89539,12000,267778,2.9906297
12000,48,64,3,Vanilla,775697,93005,11999,278156,2.990764
12000,48,64,3,Vanilla,775426,91530,11995,273968,2.9932044
12000,48,64,3,Vanilla,774595,75449,11996,226104,2.9967792
12000,48,64,3,Vanilla,772707,83971,11997,251673,2.9971418
12000,48,64,3,Vanilla,772887,78673,11998,235784,2.9970129
12000,48,64,3,Vanilla,776407,75841,12000,227217,2.9959652
12000,48,64,3,Vanilla,773153,72638,12000,217557,2.9950852
12000,48,64,3,Vanilla,773671,80098,12000,240002,2.9963546
12000,48,64,3,Vanilla,770769,83447,11999,249899,2.9947033
12000,48,64,3,Vanilla,775339,89225,12000,267061,2.9931185
12000,48,64,3,Vanilla,774263,79824,12000,239224,2.9968932
12000,64,64,3,Vanilla,768000,85099,11997,254931,2.9956992
12000,64,64,3,Vanilla,768000,67409,11996,202177,2.9992583
12000,64,64,3,Vanilla,768000,73518,12000,220515,2.9994695
12000,64,64,3,Vanilla,768000,90995,12000,272594,2.995703
12000,64,64,3,Vanilla,768000,71690,12000,214983,2.9987864
12000,64,64,3,Vanilla,768000,71836,11998,215307,2.997202
12000,64,64,3,Vanilla,768000,80628,11999,241659,2.9972093
12000,64,64,3,Vanilla,768000,90047,12000,269914,2.9974792
12000,64,64,3,Vanilla,768000,84792,12000,254142,2.9972403
12000,64,64,3,Vanilla,768000,70960,11997,212700,2.9974635
12000,64,64,3,Vanilla,768000,72317,11998,216854,2.9986587
12000,64,64,3,Vanilla,768000,50663,11993,151959,2.9994078
12000,64,64,3,Vanilla,768000,81152,11997,243285,2.9978929
12000,64,64,3,Vanilla,768000,67199,11988,201568,2.9995685
12000,64,64,3,Vanilla,768000,65561,11998,196642,2.9993746
12000,64,64,3,Vanilla,768000,86257,12000,258520,2.99709
12000,64,64,3,Vanilla,768000,82382,11998,247007,2.9983127
12000,64,64,3,Vanilla,768000,72585,11998,217703,2.9992836
12000,64,64,3,Vanilla,768000,88000,12000,263705,2.9966478
12000,64,64,3,Vanilla,768000,53494,11996,160470,2.9997756
12000,64,64,3,Vanilla,768000,65023,11999,195045,2.999631
12000,64,64,3,Vanilla,768000,70745,11996,212059,2.997512
12000,64,64,3,Vanilla,768000,82160,11999,246199,2.99658
12000,64,64,3,Vanilla,768000,79278,12000,237755,2.9990034
12000,64,64,3,Vanilla,768000,71201,12000,213537,2.999073
12000,64,64,3,Vanilla,768000,81842,11998,245182,2.9957967
12000,64,64,3,Vanilla,768000,80956,11998,242663,2.9974678
12000,64,64,3,Vanilla,768000,54635,11991,163899,2.99989
12000,64,64,3,Vanilla,768000,75388,11996,226114,2.9993367
12000,64,64,3,Vanilla,768000,78971,11999,236603,2.9960744
12000,64,64,3,Vanilla,768000,72351,11997,216964,2.99877
12000,64,64,3,Vanilla,768000,74986,11999,224895,2.9991598
12000,64,64,3,Vanilla,768000,66083,11994,198132,2.9982295
12000,64,64,3,Vanilla,768000,76688,11999,229934,2.9983048
12000,64,64,3,Vanilla,768000,72749,11996,218196,2.999299
12000,64,64,3,Vanilla,768000,76641,11999,229811,2.9985387
12000,64,64,3,Vanilla,768000,80907,11999,242348,2.9953897
12000,64,64,3,Vanilla,768000,69517,11997,208491,2.999137
12000,64,64,3,Vanilla,768000,62866,11995,188547,2.9991887
12000,64,64,3,Vanilla,768000,87166,11998,261314,2.997889
12000,64,64,3,Vanilla,768000,82679,12000,247802,2.9971576
